epoch,step,train_acc,train_kappa,train_loss,train_macro_f1,train_macro_prec,train_macro_rec,val_acc,val_bal_acc,val_kappa,val_loss,val_macro_f1,val_macro_prec,val_macro_rec
0,91,,,,,,,0.7639836072921753,0.5988022089004517,0.8564187288284302,0.9809986352920532,0.5499621629714966,0.7047958970069885,0.5988022089004517
0,91,0.6169341206550598,0.7079176306724548,1.1445757150650024,0.44508928060531616,0.4540264308452606,0.4883122444152832,,,,,,,
1,183,,,,,,,0.7421555519104004,0.6243008375167847,0.8453905582427979,0.9272746443748474,0.5689553618431091,0.6057423949241638,0.6243008375167847
1,183,0.6869238615036011,0.8040874004364014,0.9966862797737122,0.5222368240356445,0.5210840106010437,0.5701199769973755,,,,,,,
2,275,,,,,,,0.7012278437614441,0.639610230922699,0.8280491232872009,0.8779879808425903,0.5569053888320923,0.5782595276832581,0.639610230922699
2,275,0.7138954997062683,0.8183598518371582,0.9596983790397644,0.5470060706138611,0.5410389304161072,0.5849563479423523,,,,,,,
3,367,,,,,,,0.7967258095741272,0.646609365940094,0.8710604310035706,0.9331308007240295,0.6375088691711426,0.67316073179245,0.646609365940094
3,367,0.7453055381774902,0.8465709090232849,0.849964439868927,0.6001754403114319,0.5956380367279053,0.6492599248886108,,,,,,,
4,459,,,,,,,0.8049113154411316,0.6946852207183838,0.8764874935150146,0.8432180285453796,0.67135089635849,0.6830562949180603,0.6946852207183838
4,459,0.7572550177574158,0.8521358966827393,0.856207013130188,0.5995465517044067,0.5920074582099915,0.6324110627174377,,,,,,,
5,551,,,,,,,0.7421555519104004,0.6667819619178772,0.8636747002601624,0.8124682903289795,0.6133677959442139,0.6239633560180664,0.6667819619178772
5,551,0.7552065849304199,0.8398978114128113,0.8207459449768066,0.6102744936943054,0.6001079678535461,0.655400812625885,,,,,,,
6,643,,,,,,,0.7817189693450928,0.6829310655593872,0.8887811899185181,0.8028551936149597,0.6400851607322693,0.6808218955993652,0.6829310655593872
6,643,0.7616934180259705,0.8621711730957031,0.7848042249679565,0.6235674023628235,0.6145883202552795,0.6709563732147217,,,,,,,
7,735,,,,,,,0.7721691727638245,0.6763330698013306,0.8897755146026611,0.787730872631073,0.6263729929924011,0.6548036336898804,0.6763330698013306
7,735,0.7654489874839783,0.8729633688926697,0.7487814426422119,0.6252289414405823,0.61613929271698,0.6730151772499084,,,,,,,
8,827,,,,,,,0.8049113154411316,0.6969007253646851,0.9011889696121216,0.7996436357498169,0.6702462434768677,0.7001038193702698,0.6969007253646851
8,827,0.7780812382698059,0.8689903616905212,0.7566665410995483,0.6397066116333008,0.6285131573677063,0.6830006241798401,,,,,,,
9,919,,,,,,,0.7817189693450928,0.6492798924446106,0.8662512302398682,0.8473586440086365,0.6298626661300659,0.6354153752326965,0.6492798924446106
9,919,0.7890064716339111,0.880620002746582,0.694390594959259,0.6582369804382324,0.6468465328216553,0.7014852166175842,,,,,,,
10,1011,,,,,,,0.7735334038734436,0.6926964521408081,0.8808844089508057,0.8218178749084473,0.6492881178855896,0.6492761373519897,0.6926964521408081
10,1011,0.8077841997146606,0.8912017941474915,0.6686496734619141,0.687059760093689,0.6691650152206421,0.7300405502319336,,,,,,,
11,1103,,,,,,,0.817189633846283,0.7002429962158203,0.8987922072410583,0.8653189539909363,0.690606951713562,0.6975351572036743,0.7002429962158203
11,1103,0.801980197429657,0.8940601348876953,0.6732590198516846,0.68015056848526,0.6663450002670288,0.7276697754859924,,,,,,,
12,1195,,,,,,,0.8008185625076294,0.677050769329071,0.8789981007575989,0.9273166060447693,0.67556232213974,0.6962181925773621,0.677050769329071
12,1195,0.792762041091919,0.8825204968452454,0.7033932209014893,0.665218710899353,0.6536290049552917,0.7122825980186462,,,,,,,
13,1287,,,,,,,0.8130968809127808,0.7256991267204285,0.9055144786834717,0.825665295124054,0.6992389559745789,0.6949155926704407,0.7256991267204285
13,1287,0.8323659896850586,0.9158199429512024,0.5774621963500977,0.7231246829032898,0.7134430408477783,0.7665908336639404,,,,,,,
14,1379,,,,,,,0.8253751993179321,0.7305602431297302,0.9089091420173645,0.8311929106712341,0.7124525904655457,0.7128432393074036,0.7305602431297302
14,1379,0.8443154692649841,0.9155452847480774,0.5317251682281494,0.7453227639198303,0.7271212935447693,0.7948083877563477,,,,,,,
